timestamp,timestamp exit,arm,lane,Occupancy North,Occupancy South,Sense North,Sense South,total_occupancy
2017-12-29T13:42:31.851856,2017-12-29T13:46:38.414956,A0:E6:F8:2C:D0:D5,BB_SP_5.2,0.0,246.5631,0,1926,246.5631
2017-12-29T13:32:24.560308,2017-12-29T13:45:17.354008,A0:E6:F8:2C:D2:CD,BB_SP_7.1,0.0,772.7937,0,410,772.7937
2017-12-29T13:19:33.388940,2017-12-29T13:40:30.816440,A0:E6:F8:2C:D0:D5,BB_SP_5.2,0.6657,1256.7618,332,930,1257.4275
2017-12-29T13:29:01.497222,2017-12-29T13:34:28.116522,A0:E6:F8:2C:C4:55,BB_SP_3.2,0.5418,326.0775,1652,1934,326.6193
2017-12-29T13:29:45.318558,2017-12-29T13:33:53.752758,A0:E6:F8:2C:D2:A5,BB_SP_1.1,0.0,248.4342,0,922,248.4342
2017-12-29T13:23:24.770200,2017-12-29T13:33:33.322900,A0:E6:F8:2C:D0:E1,BB_SP_9.2,2.0874,606.4653,2195,1885,608.5527
2017-12-29T12:20:44.428832,2017-12-29T13:29:09.223232,A0:E6:F8:2B:32:A5,BB_SP_1.2,4104.7944,0.0,2953,73,4104.7944
2017-12-29T13:20:37.379962,2017-12-29T13:26:11.750362,A0:E6:F8:2C:D2:CD,BB_SP_7.1,334.3704,0.0,242,0,334.3704
2017-12-29T13:16:00.741670,2017-12-29T13:17:01.261570,A0:E6:F8:2C:D0:D5,BB_SP_5.2,0.0,60.5199,0,176,60.5199
2017-12-29T13:13:23.946008,2017-12-29T13:16:20.241008,A0:E6:F8:2C:D2:A5,BB_SP_1.1,0.0,176.295,0,186,176.295
2017-12-29T12:55:16.078278,2017-12-29T13:15:59.700378,A0:E6:F8:2C:D0:D5,BB_SP_5.2,1240.5981,3.024,2514,1554,1243.6221
2017-12-29T12:21:23.680403,2017-12-29T13:15:22.201703,A0:E6:F8:2B:32:91,BB_SP_2.2,1.0836,3237.4377,1633,2019,3238.5213
2017-12-29T13:13:02.973490,2017-12-29T13:15:42.466390,A0:E6:F8:2B:2F:D0,BB_SP_2.1,3.0261,156.4668,597,1622,159.4929
2017-12-29T13:02:46.920189,2017-12-29T13:13:17.245689,A0:E6:F8:2B:2F:BE,BB_SP_4.1,628.4019,1.9236,1647,1353,630.3255
2017-12-29T12:23:10.172470,2017-12-29T13:03:02.040970,A0:E6:F8:2B:2F:BE,BB_SP_4.1,2389.3023,2.5662,2348,1539,2391.8685
2017-12-29T12:58:21.893274,2017-12-29T12:59:55.998474,A0:E6:F8:2C:D0:CD,BB_SP_7.2,0.6195,93.4857,1459,1971,94.1052
2017-12-29T12:43:43.026509,2017-12-29T12:56:48.044309,A0:E6:F8:2C:C4:55,BB_SP_3.2,785.0178,0.0,1806,81,785.0178
2017-12-29T12:52:53.341239,2017-12-29T12:55:15.486039,A0:E6:F8:2C:D0:D5,BB_SP_5.2,141.8802,0.2646,966,360,142.1448
2017-12-29T12:53:29.420190,2017-12-29T12:55:14.499990,A0:E6:F8:2C:D0:F3,BB_SP_4.2,105.0798,0.0,253,0,105.0798
2017-12-29T12:53:27.056101,2017-12-29T12:55:07.041301,A0:E6:F8:2C:C4:4D,BB_SP_6.2,0.0,99.9852,12,990,99.9852
2017-12-29T12:23:08.510471,2017-12-29T12:52:09.681371,A0:E6:F8:2C:D2:9E,BB_SP_5.1,0.0,1741.1709,0,266,1741.1709
2017-12-29T12:40:53.642136,2017-12-29T12:50:01.866036,A0:E6:F8:2C:D0:F3,BB_SP_4.2,0.0,548.2239,90,698,548.2239
2017-12-29T12:38:33.440285,2017-12-29T12:40:29.923085,A0:E6:F8:2C:D0:F3,BB_SP_4.2,0.0,116.4828,0,1959,116.4828
2017-12-29T08:39:58.963349,2017-12-29T12:36:42.496049,A0:E6:F8:2B:32:9F,BB_SP_10.1,14201.7519,1.7808,2952,523,14203.5327
2017-12-29T12:03:31.574160,2017-12-29T12:22:53.210160,A0:E6:F8:2B:2F:BE,BB_SP_4.1,1161.636,0.0,431,93,1161.636
2017-12-29T11:49:53.439553,2017-12-29T12:22:42.227353,A0:E6:F8:2C:D0:F3,BB_SP_4.2,0.6069,1968.1809,676,754,1968.7878
2017-12-29T12:08:41.071867,2017-12-29T12:22:59.337667,A0:E6:F8:2C:D2:9E,BB_SP_5.1,0.0,858.2658,0,211,858.2658
2017-12-29T12:09:27.603834,2017-12-29T12:20:54.438234,A0:E6:F8:2B:2F:D0,BB_SP_2.1,686.8344,0.0,554,0,686.8344
2017-12-29T12:09:28.726488,2017-12-29T12:20:35.711688,A0:E6:F8:2B:32:A5,BB_SP_1.2,666.9852,0.0,991,13,666.9852
2017-12-29T12:05:26.332746,2017-12-29T12:09:24.684846,A0:E6:F8:2B:32:91,BB_SP_2.2,0.0,238.3521,24,2017,238.3521
2017-12-29T12:07:28.264157,2017-12-29T12:08:38.357957,A0:E6:F8:2C:D0:D5,BB_SP_5.2,66.2193,3.8745,2492,1572,70.0938
2017-12-29T11:56:55.447100,2017-12-29T12:08:07.190900,A0:E6:F8:2C:D0:CD,BB_SP_7.2,671.7438,0.0,1473,0,671.7438
2017-12-29T12:04:13.834802,2017-12-29T12:08:11.855102,A0:E6:F8:2C:D0:E1,BB_SP_9.2,0.63,237.3903,496,1323,238.0203
2017-12-29T11:25:35.194505,2017-12-29T12:07:20.347505,A0:E6:F8:2C:D2:9E,BB_SP_5.1,2505.153,0.0,1298,0,2505.153
2017-12-29T11:44:51.544754,2017-12-29T12:07:24.566354,A0:E6:F8:2C:D0:D5,BB_SP_5.2,1353.0216,0.0,222,0,1353.0216
2017-12-29T11:23:59.811545,2017-12-29T12:04:55.793045,A0:E6:F8:2B:32:91,BB_SP_2.2,1.2075,2454.774,1138,2012,2455.9815
2017-12-29T11:36:00.611889,2017-12-29T12:04:31.857789,A0:E6:F8:2B:32:A5,BB_SP_1.2,1711.2459,0.0,1608,0,1711.2459
2017-12-29T11:49:56.109335,2017-12-29T12:03:33.307535,A0:E6:F8:2B:2F:BE,BB_SP_4.1,817.1982,0.0,412,0,817.1982
2017-12-29T11:41:50.877709,2017-12-29T11:57:40.025209,A0:E6:F8:2C:C4:55,BB_SP_3.2,2.6334,946.5141,1818,1900,949.1475
2017-12-29T11:48:43.681846,2017-12-29T11:49:49.138846,A0:E6:F8:2B:2F:BE,BB_SP_4.1,63.3192,2.1378,530,1215,65.457
